"","user_screen_name"
"1","the_real_LAFord"
"2","DawnSCrawford"
"3","Badmoon2nite"
"4","ghostrider050"
"5","062ccr"
"6","anthonymansini"
"7","1776BetsyRoss"
"8","yanksirish2798"
"9","format_c"
"10","UnderhillVicky"
"11","Anthony73116704"
"12","Sir_Mikulenka"
"13","MistySpectre"
"14","bturner_cc"
"15","jwhite16"
"16","politicalkiss"
"17","drivebyag"
"18","Sarabellambg"
"19","SG_Lefty"
"20","Beefanator3000"
"21","maplesjk61"
"22","smizoker"
"23","CheckYourMedia"
"24","TXSVIKING"
"25","tap_gary"
"26","Alberta17465930"
"27","JeffLege"
"28","MadelaineWick1"
"29","TexasKimberley"
"30","cantaya6"
"31","jhrogers58"
"32","DRADAIV"
"33","leslieha3"
"34","bette_crooke"
"35","OilFart1"
"36","matthewevan71"
"37","TRUMP4ISRAEL"
"38","HectorMCaballer"
"39","jen_myPsalms182"
"40","RCJETTE"
"41","pfiec"
"42","KelseySHagen"
"43","LiddlePhyllis"
"44","TheLaurieKirk"
"45","JoeBiala"
"46","getvertical86"
"47","UnitedByLoveNYC"
"48","junipersage1"
"49","blindcowboy"
"50","SylviaAlva5"
"51","Italia191"
"52","dickysmall88888"
"53","b_mitchellll"
"54","avidrunner7"
"55","MichaelDeanSpa2"
"56","Seektruthalways"
"57","tristhans3n"
"58","Jobo09943263"
"59","theTexan65"
"60","kym_rdschick"
"61","nmojomn"
"62","DeplorableSunny"
"63","FuriousFarmBoy"
"64","skosub"
"65","littleriver1924"
"66","immreformer"
"67","Athenean1975"
"68","Kittaene"
"69","alkhciosbihadal"
"70","Toni_Scurlock"
"71","mikeeey1234"
"72","Phil23747604"
"73","CarlPostuma"
"74","ddubyuh"
"75","Gann0n8r"
"76","ShaneAn55659757"
"77","AliceBobby"
"78","mimismurf965"
"79","JavierL4USA"
"80","Justa47yearold2"
"81","Kimmerztweets"
"82","globalNick72"
"83","zanechaffins"
"84","RufusFlinchum"
"85","UdvTANBgkh9NQth"
"86","JanWhiz2"
"87","fcfootsteps"
"88","RichardGillia"
"89","G_Eternal"
"90","lulubelle56"
"91","ZamboniJoe1"
"92","mso_915"
"93","HoukDebbie"
"94","2texasmom"
"95","manasco_lisa"
"96","BIGED5269"
"97","MamaPatriot1"
"98","BeyondTN"
"99","CEB_AmeriCan"
"100","Al_in_Maine"
"101","shadow941x"
"102","jhigg1212"
"103","Rob58367076"
"104","MillerStacy48"
"105","BeauLauria"
"106","mechanic_47"
"107","LM16612718"
"108","auntyrick"
"109","KNTKYkristofer"
"110","syl_131"
"111","BrandonJLandry"
"112","jeffgarrett1999"
"113","LstConservnCA"
"114","AniQuadros"
"115","Catheri71000729"
"116","jennasdad73"
"117","h_yawn"
"118","rkhlegacy"
"119","huntervance75"
"120","StefanoVP2013"
"121","Timothy26396065"
"122","apriljamison59"
"123","Mjs150"
"124","barking_jimbob"
"125","beeluzjams"
"126","WABLHat"
"127","Hl24429583"
"128","realPEDRO6"
"129","mPresley9"
"130","Kaakii"
"131","shornbeck22"
"132","gumdoc69"
"133","worldly401"
"134","JacquelineLelsz"
"135","The_PhilMadison"
"136","alirezakhosh275"
"137","WeWhoDieSaluteU"
"138","EECC506"
"139","OnesoG"
"140","rratkinson"
"141","BrewerBarbara"
"142","RightToLife_USA"
"143","javukasin"
"144","StotlerGerry"
"145","BlueIslandPadre"
"146","lfsanjuan"
"147","cherrietaz2"
"148","JanFrye"
"149","Womanofsteel6"
"150","stephany_oakley"
"151","JonDFrost44"
"152","SupportAnimals"
"153","dsteding"
"154","FergusonMadDog"
"155","TheWarEvent"
"156","Chelle_Court13"
"157","USAFirst55"
"158","JennasRedPill"
"159","NaldrettPat"
"160","ATLUGAGURL"
"161","virgini97643191"
"162","rromona"
"163","artech42"
"164","LorettaSteddum"
"165","Jeh57John"
"166","b_roelf"
"167","KijaFlock"
"168","bradleybo62"
"169","armyproud7"
"170","lorrifrench1"
"171","GRR1179"
"172","lisewski_jason"
"173","deborah_bivens"
"174","Margie_Far"
"175","PatGraetz"
"176","Tacking_Port"
"177","kevin9359"
"178","Dlw20161950"
"179","betsy_ysteb"
"180","lauraandrhino"
"181","HTownStacyBrown"
"182","paulson_dwight"
"183","sabersaw112"
"184","Stips620"
"185","Meggypaul"
"186","NMRJr"
"187","mbolch"
"188","will_tremaine"
"189","KonniBurton"
"190","tanaii36"
"191","mydogskylar"
"192","Dmacmd"
"193","shiftzz"
"194","Merrydaze2"
"195","ZigTj"
"196","vaughanm66"
"197","KenNBeaulieu"
"198","elteyeb33"
"199","ianlamroti"
"200","JBW227"
"201","HScot9"
"202","jimaggie93"
"203","eyez4cedopen"
"204","oilofjoy7"
"205","MikeShenk2"
"206","confusedabout"
"207","AtlantaLiberal"
"208","ArthurAndrew"
"209","dotis1156"
"210","GlendaDavalos1"
"211","brannwt"
"212","elizabethpurse1"
"213","george12a"
"214","JasonSm90876769"
"215","FuzzyTaco75"
"216","terresamonroe"
"217","JoLoDiBenedetto"
"218","JTS_1957"
"219","uiwttreinanx"
"220","alabingbong"
"221","Beans4memes"
"222","palmarino777"
"223","roberto_cojones"
"224","Benny60932533"
"225","neff630"
"226","JamesPo40270059"
"227","darhtan"
"228","sisterwash65"
"229","BrendaTumlinso1"
"230","WesleyA93899906"
"231","shancoggins"
"232","sjlnlgl5451"
"233","LavondaGalt"
"234","mama_arroz"
"235","tradingwave3"
"236","rjhrrlfam7"
"237","mshepp1969"
"238","oscar67363717"
"239","jacques_comet"
"240","gloria593265591"
"241","Deborah89276464"
"242","hawaiihao"
"243","Madii_m_"
"244","RamonDuarte21"
"245","JimW_in_NM"
"246","kalolakini"
"247","RealityGoneWild"
"248","BC4ever54"
"249","1stLineDefense"
"250","paulaledfordwa1"
"251","Haftalaff220"
"252","crust53"
"253","Jacob_Roseman"
"254","IVIich4eL"
"255","Belladontbite"
"256","BryanPierson5"
"257","Victoriaboehm1"
"258","jds1962mrs"
"259","LoriLeeRivero"
"260","TomMcLa89830248"
"261","vikasmittal"
"262","BoilerPhin"
"263","mlafinancial"
"264","Farmchick3157"
"265","myfoxchannel"
"266","toccoacamp"
"267","droiddan"
"268","SargeSummers"
"269","jsblcb"
"270","abbycool30"
"271","NarcoSoprano"
"272","AlexBHouston"
"273","pyongtaek131"
"274","SusieTrumpster"
"275","MariaGu74395512"
"276","holeshot413"
"277","chloebearsmomm"
"278","JimJimwil"
"279","asyoureadthis"
"280","ruhoward4"
"281","WayneWylie1"
"282","richsju9"
"283","hayag_jerry"
"284","wkieefer"
"285","denice_62"
"286","larrym0131"
"287","PeteDKY"
"288","Nelliellama"
"289","DwyerEllen"
"290","RUSSOCPAMBA"
"291","mark_mandrino"
"292","Sgroberts121657"
"293","LateHitsNYC"
"294","EdwardPishkin"
"295","Michele_Gman"
"296","Mrsnknk"
"297","backfifty_sara"
"298","Kelse_j"
"299","ReedJutsus"
"300","truthandtrustfl"
"301","JohnJbpaint"
"302","BKDstudio1"
"303","Kydaddy19751"
"304","lorylovesanimal"
"305","ginocarr"
"306","Patrici86405735"
"307","kena_brian"
"308","lylestoner"
"309","Tenngun1"
"310","trumpp_j"
"311","Eddiegreen58"
"312","ConservativeCR"
"313","CandyCain79"
"314","desireekraft3"
"315","Punisher_72"
"316","paigeandcambell"
"317","jazzrtrish"
"318","scasey79"
"319","VicGobbi"
"320","Elizabe03983224"
"321","DavisDebra13"
"322","Bowles1963Linda"
"323","MMM_iam"
"324","debrand1827"
"325","SerinaFair1"
"326","outsideingirl"
"327","harrington_gigi"
"328","lanedvnpt"
"329","Lindalu192"
"330","linckerney"
"331","bradscott78013"
"332","lyndraz5"
"333","pghk1d"
"334","rgwiese"
"335","hollyshansen"
"336","akidwell72"
"337","jricks111"
"338","Texasgalz"
"339","david_quickel"
"340","RosieAndujar"
"341","Autin96888421"
"342","gregghoulden"
"343","JimMcQuerry"
"344","jeffrey75070"
"345","Mommafrogg"
"346","truckgirl65"
"347","djvrobin"
"348","Chris_Domingu3z"
"349","artnpen75"
"350","Arleekas"
"351","antonio_norat"
"352","LesterVictor1"
"353","Jennifer0903197"
"354","nailsue1"
"355","2calm2loose"
